company,name,linkedin_url
10x Genomics,serge saxonov,https://www.linkedin.com/in/serge-saxonov-7b42572
10x Genomics,michael schnall levin,https://www.linkedin.com/in/michael-schnall-levin-b0258239
10x Genomics,ben hindson,https://www.linkedin.com/in/ben-hindson-09739813
10x Genomics,rajiv bharadwaj,https://www.linkedin.com/in/rajiv-bharadwaj-069b853
10x Genomics,kristencardillo,https://www.linkedin.com/in/kristencardillo
180 Life Sciences Corp.,cutlerscott,https://www.linkedin.com/in/cutlerscott
180 Life Sciences Corp.,bobby le blanc,https://www.linkedin.com/in/bobby-le-blanc-20673b2b
180 Life Sciences Corp.,rali perduhova,https://www.linkedin.com/in/rali-perduhova-34042919
180 Life Sciences Corp.,cromwellcoulson,https://www.linkedin.com/in/cromwellcoulson
180 Life Sciences Corp.,mhelwani,https://www.linkedin.com/in/mhelwani
858 Therapeutics,jeffrey stafford,https://www.linkedin.com/in/jeffrey-stafford-7b878010
858 Therapeutics,aiden aceves,https://www.linkedin.com/in/aiden-aceves
858 Therapeutics,angie vassar m s pmp,https://www.linkedin.com/in/angie-vassar-m-s-pmp-3a1b5045
858 Therapeutics,nam nguyen,https://www.linkedin.com/in/nam-nguyen-42382332
858 Therapeutics,ryan k stansfield,https://www.linkedin.com/in/ryan-k-stansfield
89bio Inc,moran stolper,https://il.linkedin.com/in/moran-stolper-87a61bb0
"A2 Biotherapeutics, Inc.",jim robinson,https://www.linkedin.com/in/jim-robinson-69a7873a
"A2 Biotherapeutics, Inc.",thomas leung,https://www.linkedin.com/in/thomas-leung-632a4527
"A2 Biotherapeutics, Inc.",shae l,https://www.linkedin.com/in/shae-l-65a2887
"A2 Biotherapeutics, Inc.",diane manry,https://www.linkedin.com/in/diane-manry-72a55766
"A2 Biotherapeutics, Inc.",william go md phd,https://www.linkedin.com/in/william-go-md-phd-aba004b
"Aadi Bioscience, Inc.",,https://www.linkedin.com/in/bdelaney58
"Aadi Bioscience, Inc.",neil desai,https://www.linkedin.com/in/neil-desai-24282ab7
"Aadi Bioscience, Inc.",neil desai,https://www.linkedin.com/in/neil-desai-bb0053211
"Aadi Bioscience, Inc.",baiteng zhao,https://www.linkedin.com/in/baiteng-zhao-b40b804
"Aadi Bioscience, Inc.",tina horwath,https://www.linkedin.com/in/tina-horwath-4609a59
Aardvark Therapeutics,bryan jones,https://www.linkedin.com/in/bryan-jones-8627584
Aardvark Therapeutics,dvorit samid,https://www.linkedin.com/in/dvorit-samid-6287778
Aardvark Therapeutics,zhenhuan zheng,https://www.linkedin.com/in/zhenhuan-zheng-43a1b02b
Aardvark Therapeutics,zacharyhornby,https://www.linkedin.com/in/zacharyhornby
Aardvark Therapeutics,alexa warner,https://www.linkedin.com/in/alexa-warner-9b0144207
Aaren Scientific,ruthsahler,https://www.linkedin.com/in/ruthsahler
Aaren Scientific,joseph coggins,https://www.linkedin.com/in/joseph-coggins-63561313a
Aaren Scientific,kimdyer,https://www.linkedin.com/in/kimdyer
Aaren Scientific,horacio cervo,https://ar.linkedin.com/in/horacio-cervo-7374205
Aaren Scientific,desiree portillo,https://www.linkedin.com/in/desiree-portillo-16a525212
"Abalone Bio, Inc.",brett,https://www.linkedin.com/in/brett-robison9
Abbott Vascular - CA,janak kaila,https://www.linkedin.com/in/janak-kaila-1189245
AbbVie,richardgonzalezabbvie,https://www.linkedin.com/in/richardgonzalezabbvie
AbbVie,rob michael,https://www.linkedin.com/in/rob-michael
AbbVie,mike carlin cio,https://www.linkedin.com/in/mike-carlin-cio
AbbVie,johnhassman,https://www.linkedin.com/in/johnhassman
AbbVie,suresh pattathil,https://in.linkedin.com/in/suresh-pattathil-52390714
"Abgenix, Inc.",geoff davis,https://www.linkedin.com/in/geoff-davis-2945225
"Abgenix, Inc.",richard hoffman,https://www.linkedin.com/in/richard-hoffman-a747036
"Abgenix, Inc.",yasmin chandrasekher phd,https://www.linkedin.com/in/yasmin-chandrasekher-phd-2a66ab2
"Abgenix, Inc.",rey banatao,https://www.linkedin.com/in/rey-banatao-b9b68117
"Abgenix, Inc.",kathy behrens wilsey,https://www.linkedin.com/in/kathy-behrens-wilsey-b53224a5
"AbGenomics International, Inc.",pei jiun chen ph d,https://tw.linkedin.com/in/pei-jiun-chen-ph-d-32566379
"AbGenomics International, Inc.",ireneylcheng,https://au.linkedin.com/in/ireneylcheng
"AbGenomics International, Inc.",keming huang,https://tw.linkedin.com/in/keming-huang-98aaa4113
"AbGenomics International, Inc.",博孝 陳,https://tw.linkedin.com/in/%E5%8D%9A%E5%AD%9D-%E9%99%B3-93722068
"Abintus Bio, Inc.",douglas j jolly,https://www.linkedin.com/in/douglas-j-jolly-b72a174
"Abintus Bio, Inc.",r anthony williamson,https://uk.linkedin.com/in/r-anthony-williamson-aaaa75196
"Abintus Bio, Inc.",derek ostertag,https://www.linkedin.com/in/derek-ostertag-b65a7a3
"Abintus Bio, Inc.",albert bourla,https://www.linkedin.com/in/albert-bourla
"Abintus Bio, Inc.",alise reicin,https://www.linkedin.com/in/alise-reicin
ACADIA Pharmaceuticals Inc.,steve davis,https://www.linkedin.com/in/steve-davis-74b86910
ACADIA Pharmaceuticals Inc.,mark schneyer,https://www.linkedin.com/in/mark-schneyer-7671436
ACADIA Pharmaceuticals Inc.,catherineowen,https://www.linkedin.com/in/catherineowen
ACADIA Pharmaceuticals Inc.,nickcondos,https://www.linkedin.com/in/nickcondos
ACADIA Pharmaceuticals Inc.,tagarner,https://www.linkedin.com/in/tagarner
Accelergy,johnjazwiec,https://www.linkedin.com/in/johnjazwiec
Accelergy,rocco fiato,https://www.linkedin.com/in/rocco-fiato-9a052056
Accelergy,adam pickett accelergy,https://www.linkedin.com/in/adam-pickett-accelergy
Accelergy,mark allen,https://www.linkedin.com/in/mark-allen-6533767
Accelergy,tammyhavenlong,https://www.linkedin.com/in/tammyhavenlong
"Accumetrics, Inc.",chris m rodriguez,https://www.linkedin.com/in/chris-m-rodriguez-70167b15
"Accumetrics, Inc.",terry packer,https://www.linkedin.com/in/terry-packer-64664a4
"Accumetrics, Inc.",jeff walker,https://www.linkedin.com/in/jeff-walker-24b6b55
"Accumetrics, Inc.",kevin syverson,https://www.linkedin.com/in/kevin-syverson-6238421b
"Accumetrics, Inc.",chris casey,https://www.linkedin.com/in/chris-casey-6285ba3
AcelRx Pharmaceuticals Inc,vince angotti,https://www.linkedin.com/in/vince-angotti-72424897
AcelRx Pharmaceuticals Inc,raffi asadorian,https://www.linkedin.com/in/raffi-asadorian-b347785
AcelRx Pharmaceuticals Inc,thomas schreck,https://www.linkedin.com/in/thomas-schreck-21baab13
AcelRx Pharmaceuticals Inc,nigelray,https://www.linkedin.com/in/nigelray
AcelRx Pharmaceuticals Inc,jim welch,https://www.linkedin.com/in/jim-welch-a89b055
"Acelyrin, Inc.",mina kim,https://www.linkedin.com/in/mina-kim-346208a
"Acelyrin, Inc.",patriciaturney,https://www.linkedin.com/in/patriciaturney
"Acelyrin, Inc.",lynn tetrault,https://www.linkedin.com/in/lynn-tetrault-48099110
"Acelyrin, Inc.",shephard mpofu,https://www.linkedin.com/in/shephard-mpofu-5a0739a
"Acelyrin, Inc.",robert f carey,https://www.linkedin.com/in/robert-f-carey-042a101
"Achaogen, Inc.",hina patel,https://www.linkedin.com/in/hina-patel-62b44113
"Achaogen, Inc.",sunny ryan cpa,https://www.linkedin.com/in/sunny-ryan-cpa-11b67512
Acologix,yoshi kumagai,https://www.linkedin.com/in/yoshi-kumagai-8915604
Acologix,,https://www.linkedin.com/in/tomsmart1
Acologix,conniehampton,https://www.linkedin.com/in/conniehampton
Acologix,mlazarov,https://www.linkedin.com/in/mlazarov
Acologix,jere fellmann,https://www.linkedin.com/in/jere-fellmann-9152324
"Actavalon, Inc",kpattersci,https://www.linkedin.com/in/kpattersci
Actelion Pharmaceuticals US Inc,victoria berenholz,https://www.linkedin.com/in/victoria-berenholz
Actelion Pharmaceuticals US Inc,shanthi srinivasan,https://www.linkedin.com/in/shanthi-srinivasan-864b0a40
Actelion Pharmaceuticals US Inc,danikawebb,https://www.linkedin.com/in/danikawebb
Actelion Pharmaceuticals US Inc,cassandra clapp shelton,https://www.linkedin.com/in/cassandra-clapp-shelton-28120a7
Actelion Pharmaceuticals US Inc,sdang,https://www.linkedin.com/in/sdang
Actimis Pharmaceuticals,tai wei ly,https://www.linkedin.com/in/tai-wei-ly-a27b864
Actimis Pharmaceuticals,ritudrverma,https://www.linkedin.com/in/ritudrverma
AcuamarkDx,ezeddin fadel,https://www.linkedin.com/in/ezeddin-fadel
AcuamarkDx,bpeperstraete,https://www.linkedin.com/in/bpeperstraete
AcuamarkDx,peter vanderklish,https://www.linkedin.com/in/peter-vanderklish-2285033a
"Acumen Pharmaceuticals, Inc.",daniel o connell,https://www.linkedin.com/in/daniel-o-connell-48b931
"Acumen Pharmaceuticals, Inc.",zander strange,https://www.linkedin.com/in/zander-strange-88907916
"Acumen Pharmaceuticals, Inc.",amy schacterle,https://www.linkedin.com/in/amy-schacterle-29b20299
"Acumen Pharmaceuticals, Inc.",eric siemers md,https://www.linkedin.com/in/eric-siemers-md-86873a1b
"Acumen Pharmaceuticals, Inc.",janice hitchcock ph d,https://www.linkedin.com/in/janice-hitchcock-ph-d-57752940
"Adamas Pharmaceuticals, Inc.",,https://www.linkedin.com/in/marie2velasco
"Adamas Pharmaceuticals, Inc.",alf merriweather,https://www.linkedin.com/in/alf-merriweather-6874441
"Adamas Pharmaceuticals, Inc.",andreadanforth,https://www.linkedin.com/in/andreadanforth
"Adamas Pharmaceuticals, Inc.",marthajdemski,https://www.linkedin.com/in/marthajdemski
"Adamas Pharmaceuticals, Inc.",rachel jeffries price,https://www.linkedin.com/in/rachel-jeffries-price-949b897
Adamis Pharmaceuticals Corporation,wdenby,https://www.linkedin.com/in/wdenby
Adamis Pharmaceuticals Corporation,dwalmsley,https://www.linkedin.com/in/dwalmsley
Adamis Pharmaceuticals Corporation,,https://www.linkedin.com/in/craigjohnson1961
Adamis Pharmaceuticals Corporation,jared cusack,https://www.linkedin.com/in/jared-cusack
Adamis Pharmaceuticals Corporation,jonhee,https://www.linkedin.com/in/jonhee
"Adanate, Inc.",chrismgriffith,https://www.linkedin.com/in/chrismgriffith
"Adanate, Inc.",malcolmbuzon,https://www.linkedin.com/in/malcolmbuzon
"ADARx Pharmaceuticals, Inc.",zhen li,https://www.linkedin.com/in/zhen-li-b41643224
"ADARx Pharmaceuticals, Inc.",ajim tamboli,https://www.linkedin.com/in/ajim-tamboli
"ADARx Pharmaceuticals, Inc.",daniel l chao,https://www.linkedin.com/in/daniel-l-chao
"ADARx Pharmaceuticals, Inc.",a robert macleod ph d,https://www.linkedin.com/in/a-robert-macleod-ph-d-468b8b11
"ADARx Pharmaceuticals, Inc.",chris storgard,https://www.linkedin.com/in/chris-storgard-a33aa626
Adcentrx Therapeutics,,https://www.linkedin.com/in/huili009
Adcentrx Therapeutics,joe shan,https://www.linkedin.com/in/joe-shan
Adcentrx Therapeutics,andrewmhopkins,https://www.linkedin.com/in/andrewmhopkins
Adcentrx Therapeutics,oscar betancourt,https://www.linkedin.com/in/oscar-betancourt-4040ba66
Adcentrx Therapeutics,erinmorgannye,https://www.linkedin.com/in/erinmorgannye
Adheron Therapeutics,hari kumar,https://ch.linkedin.com/in/hari-kumar-a305027
Adheron Therapeutics,david castaldi,https://www.linkedin.com/in/david-castaldi-29804818
